id,date,f1,cc,country,language,tweet,sentiment
1253866582536749058,2020-04-25T02:01:03.000Z,drought,MA,Morocco,fr,Daphné on a vécu trop de bails en si peu de temps ??? Han,NEUTRAL
1253634194716139520,2020-04-24T10:37:38.000Z,drought,MA,Morocco,en,"Zimbabwe Drought, Hunger to Run Into 2020, Fewsnet Says https://t.co/5Qk0dPZWlB",NEUTRAL
1253525689241948162,2020-04-24T03:26:28.000Z,drought,MA,Morocco,fr,Joyeux anniversaire voisine on vieillis han ??? https://t.co/eXUnG1l0KA,NEUTRAL
1253364559173357569,2020-04-23T16:46:11.000Z,drought,MA,Morocco,fr,Shamballah quoi han nSi tu nas pas ça au temps cest que tu vaurien nÇa pèse cohan aussi ? https://t.co/efXYfTNHib,NEUTRAL
1252690550626582530,2020-04-21T20:07:55.000Z,drought,MR,Mauritania,es,@Khaled71262641 La verdad es q desde primer momento se lo han tomado muy en serio con medidas q han impedido q se propague la enfermedad. Ahora se prevee q por el ramadán se suavicen dichas medidas. A ver q pasa a partir del viernes.,NEUTRAL
1252591136499068929,2020-04-21T13:32:53.000Z,drought,MA,Morocco,es,"11 años han pasado y aún recuerdo ese olor nauseabundo de la curtiduría... Me resultaba complicado hacer fotos y aguantar el ramilllete de menta bajo la nariz, opté por hacer fotos y salir cuanto antes. @ Fèz Médina, https://t.co/3r8p5tDT3L",NEUTRAL
1252507342995931136,2020-04-21T07:59:55.000Z,drought,MA,Morocco,es,"@el_pais En Corea del Sur, Japón e incluso en Irán han tenido pocas víctimas mortales. O sea que no se trata sólo de china. El fallo hay que encontrarlo dentro, de nada sirve tirar las piedras a los tejados de los demás, mientra la gente siga muriendo.",NEUTRAL
1251934039784722434,2020-04-19T18:01:49.000Z,drought,MA,Morocco,es,@sonietamb @LA Es información segura ¿? @sonietamb según me han dicho que al final no sale este barco.,NEUTRAL
1251923028998586369,2020-04-19T17:18:04.000Z,drought,MA,Morocco,es,"Nuestro primer viaje a Àfrica, en el mítico #HotelContinentalTanger, en Marruecos, construido en 1870. Allí se han alojado Degas, Winston Churchill, Pío Baroja o Bertolucci. Escenario de ""Spectre"" de James Bond, El https://t.co/WqwObJGbfV",NEUTRAL
1251837099231363072,2020-04-19T11:36:37.000Z,drought,MA,Morocco,es,"#MexicanosEnMarruecos??: Las autoridades marroquíes han anunciado que el estado nacional de emergencia sanitaria se prolongará hasta el 20 de mayo 2020 #QuédateEnCasa , evita desplazamientos no esenciales y si tienes que salir, hazlo portando cubreboca https://t.co/Tl5jgg292R",NEUTRAL
1251251562112069633,2020-04-17T20:49:54.000Z,drought,MA,Morocco,es,"#covid_19n#QuedateEnCasa #quierovolveracasa   cansado de esta cuarentena se me hace interminable.nPor culpa de 4 chinos jugando a inventar virus; nsi todon ""Made in China""?? nnes mala calidad porque  #coronavirus nlo han fabricado tan bueno que ha parado el .?n"" Pregunto"" nhilo",NEUTRAL
